Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
POC,Chrome 75.0.3770.142,,2019-07-27 12:18:22,2019-07-27 12:21:53,"3m - 31,205s",PASSED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-23449 - Quick Intake Wizard,Chrome 75.0.3770.142,"Summary: Back office  Quick Intake Wizard (Automation MK)
Description: ",2019-07-27 12:18:22,2019-07-27 12:21:53,"3m - 30,904s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.142,,2019-07-27 12:18:23,2019-07-27 12:19:09,"45,923s",PASSED
waitForPageLoad(60),Chrome 75.0.3770.142,,2019-07-27 12:19:09,2019-07-27 12:19:09,"0,040s",PASSED
delay(3),Chrome 75.0.3770.142,,2019-07-27 12:19:09,2019-07-27 12:19:12,"3,015s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 75.0.3770.142,,2019-07-27 12:19:12,2019-07-27 12:19:12,"0,060s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""), 100)",Chrome 75.0.3770.142,,2019-07-27 12:19:12,2019-07-27 12:19:12,"0,032s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""))",Chrome 75.0.3770.142,,2019-07-27 12:19:12,2019-07-27 12:19:12,"0,114s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:12,2019-07-27 12:19:14,"2,012s",PASSED
waitForPageLoad(50),Chrome 75.0.3770.142,,2019-07-27 12:19:14,2019-07-27 12:19:14,"0,032s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/Quick Intake Wizard Link""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:14,2019-07-27 12:19:14,"0,046s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/Quick Intake Wizard Link""))",Chrome 75.0.3770.142,,2019-07-27 12:19:14,2019-07-27 12:19:17,"3,048s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:17,2019-07-27 12:19:19,"2,012s",PASSED
switchToDefaultContent(),Chrome 75.0.3770.142,,2019-07-27 12:19:19,2019-07-27 12:19:19,"0,033s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 75.0.3770.142,,2019-07-27 12:19:19,2019-07-27 12:19:19,"0,078s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/New Referral Button""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:19,2019-07-27 12:19:19,"0,051s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/New Referral Button""))",Chrome 75.0.3770.142,,2019-07-27 12:19:19,2019-07-27 12:19:19,"0,171s",PASSED
waitForPageLoad(50),Chrome 75.0.3770.142,,2019-07-27 12:19:19,2019-07-27 12:19:19,"0,020s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:19,2019-07-27 12:19:21,"2,014s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:21,2019-07-27 12:19:21,"0,044s",PASSED
"focus(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""))",Chrome 75.0.3770.142,,2019-07-27 12:19:21,2019-07-27 12:19:22,"0,130s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""))",Chrome 75.0.3770.142,,2019-07-27 12:19:22,2019-07-27 12:19:22,"0,107s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:22,2019-07-27 12:19:24,"2,019s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 75.0.3770.142,,2019-07-27 12:19:24,2019-07-27 12:19:24,"0,122s",PASSED
delay(3),Chrome 75.0.3770.142,,2019-07-27 12:19:24,2019-07-27 12:19:27,"3,017s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ReferralSourcePerson""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:27,2019-07-27 12:19:27,"0,049s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/ReferralSourcePerson""), G_ReferralSourcePerson)",Chrome 75.0.3770.142,,2019-07-27 12:19:27,2019-07-27 12:19:27,"0,471s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:27,2019-07-27 12:19:29,"2,013s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClientFirstName""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:29,2019-07-27 12:19:29,"0,056s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/ClientFirstName""), G_ClientFirstName)",Chrome 75.0.3770.142,,2019-07-27 12:19:29,2019-07-27 12:19:30,"0,279s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:30,2019-07-27 12:19:32,"2,017s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClientMiddle""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:32,2019-07-27 12:19:32,"0,052s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/ClientMiddle""), G_ClientMiddleName)",Chrome 75.0.3770.142,,2019-07-27 12:19:32,2019-07-27 12:19:32,"0,195s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:32,2019-07-27 12:19:34,"2,017s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClientLastName""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:34,2019-07-27 12:19:34,"0,061s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/ClientLastName""), G_ClientLastName)",Chrome 75.0.3770.142,,2019-07-27 12:19:34,2019-07-27 12:19:34,"0,256s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:34,2019-07-27 12:19:36,"2,018s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/FollowUpCallBack""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:36,2019-07-27 12:19:36,"0,062s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/FollowUpCallBack""), ""3"")",Chrome 75.0.3770.142,,2019-07-27 12:19:36,2019-07-27 12:19:37,"0,191s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:37,2019-07-27 12:19:39,"2,020s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/PhysicianName""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:39,2019-07-27 12:19:39,"0,052s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/PhysicianName""))",Chrome 75.0.3770.142,,2019-07-27 12:19:39,2019-07-27 12:19:39,"0,169s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:39,2019-07-27 12:19:41,"2,014s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/PhysicianName""), G_PhisicanName)",Chrome 75.0.3770.142,,2019-07-27 12:19:41,2019-07-27 12:19:41,"0,293s",PASSED
delay(3),Chrome 75.0.3770.142,,2019-07-27 12:19:41,2019-07-27 12:19:44,"3,019s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/li_Black Larry""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:44,2019-07-27 12:19:44,"0,052s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/li_Black Larry""))",Chrome 75.0.3770.142,,2019-07-27 12:19:44,2019-07-27 12:19:44,"0,178s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:44,2019-07-27 12:19:46,"2,016s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/SaveButton""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:46,2019-07-27 12:19:46,"0,059s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/SaveButton""), STOP_ON_FAILURE)",Chrome 75.0.3770.142,,2019-07-27 12:19:46,2019-07-27 12:19:47,"0,142s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-27 12:19:47,2019-07-27 12:19:49,"2,022s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/btnNext""), 50)",Chrome 75.0.3770.142,,2019-07-27 12:19:49,2019-07-27 12:19:49,"0,049s",PASSED
