Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
POC,Chrome 75.0.3770.142,,2019-07-29 11:10:22,2019-07-29 11:21:46,"11m - 24,420s",PASSED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-23449 - Quick Intake Wizard,Chrome 75.0.3770.142,"Summary: Back office  Quick Intake Wizard (Automation MK)
Description: ",2019-07-29 11:10:22,2019-07-29 11:13:27,"3m - 5,282s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.142,,2019-07-29 11:10:23,2019-07-29 11:10:48,"25,372s",PASSED
waitForPageLoad(60),Chrome 75.0.3770.142,,2019-07-29 11:10:48,2019-07-29 11:10:48,"0,019s",PASSED
delay(3),Chrome 75.0.3770.142,,2019-07-29 11:10:48,2019-07-29 11:10:51,"3,019s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 75.0.3770.142,,2019-07-29 11:10:51,2019-07-29 11:10:51,"0,076s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""), 100)",Chrome 75.0.3770.142,,2019-07-29 11:10:51,2019-07-29 11:10:51,"0,042s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""))",Chrome 75.0.3770.142,,2019-07-29 11:10:51,2019-07-29 11:10:51,"0,178s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 11:10:51,2019-07-29 11:10:53,"2,015s",PASSED
waitForPageLoad(50),Chrome 75.0.3770.142,,2019-07-29 11:10:53,2019-07-29 11:10:53,"0,021s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/Quick Intake Wizard Link""), 50)",Chrome 75.0.3770.142,,2019-07-29 11:10:53,2019-07-29 11:10:54,"0,043s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/Quick Intake Wizard Link""))",Chrome 75.0.3770.142,,2019-07-29 11:10:54,2019-07-29 11:10:56,"2,267s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 11:10:56,2019-07-29 11:10:58,"2,011s",PASSED
switchToDefaultContent(),Chrome 75.0.3770.142,,2019-07-29 11:10:58,2019-07-29 11:10:58,"0,026s",PASSED
