Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression Caregiver,Chrome 75.0.3770.100,,2019-06-24 13:45:03,2019-06-24 14:02:25,"17m - 21,250s",FAILED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-28718 - BO - Full Caregiver creation,Chrome 75.0.3770.100,"Summary: BO - Full Caregiver creation
Description: ",2019-06-24 13:45:06,2019-06-24 13:52:55,"7m - 49,276s",FAILED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-24 13:45:14,2019-06-24 13:46:03,"49,634s",PASSED
waitForPageLoad(60),Chrome 75.0.3770.100,,2019-06-24 13:46:03,2019-06-24 13:46:04,"0,140s",PASSED
delay(3),Chrome 75.0.3770.100,,2019-06-24 13:46:04,2019-06-24 13:46:07,"3,022s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 75.0.3770.100,,2019-06-24 13:46:07,2019-06-24 13:46:07,"0,237s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:46:07,2019-06-24 13:46:07,"0,286s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""))",Chrome 75.0.3770.100,,2019-06-24 13:46:07,2019-06-24 13:46:08,"0,826s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:08,2019-06-24 13:46:10,"2,021s",PASSED
waitForPageLoad(50),Chrome 75.0.3770.100,,2019-06-24 13:46:10,2019-06-24 13:46:10,"0,162s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/Caregiver Search""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:46:10,2019-06-24 13:46:10,"0,192s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Caregiver Search""))",Chrome 75.0.3770.100,,2019-06-24 13:46:10,2019-06-24 13:46:13,"2,391s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:13,2019-06-24 13:46:15,"2,014s",PASSED
waitForPageLoad(60),Chrome 75.0.3770.100,,2019-06-24 13:46:15,2019-06-24 13:46:15,"0,209s",PASSED
switchToDefaultContent(),Chrome 75.0.3770.100,,2019-06-24 13:46:15,2019-06-24 13:46:15,"0,139s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 75.0.3770.100,,2019-06-24 13:46:15,2019-06-24 13:46:15,"0,269s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverFirst Name""), 50)",Chrome 75.0.3770.100,,2019-06-24 13:46:15,2019-06-24 13:46:16,"0,233s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverFirst Name""), ""xxxxx"")",Chrome 75.0.3770.100,,2019-06-24 13:46:16,2019-06-24 13:46:17,"0,984s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:17,2019-06-24 13:46:19,"2,018s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverLast Name""), 50)",Chrome 75.0.3770.100,,2019-06-24 13:46:19,2019-06-24 13:46:19,"0,362s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverLast Name""), ""xxxxx"")",Chrome 75.0.3770.100,,2019-06-24 13:46:19,2019-06-24 13:46:20,"0,817s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:20,2019-06-24 13:46:22,"2,015s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/SSN""), 50)",Chrome 75.0.3770.100,,2019-06-24 13:46:22,2019-06-24 13:46:22,"0,238s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/SSN""), ""999999995"")",Chrome 75.0.3770.100,,2019-06-24 13:46:22,2019-06-24 13:46:23,"0,893s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:23,2019-06-24 13:46:25,"2,016s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverBttnSearch""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:46:25,2019-06-24 13:46:25,"0,219s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverBttnSearch""))",Chrome 75.0.3770.100,,2019-06-24 13:46:25,2019-06-24 13:46:27,"1,866s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:27,2019-06-24 13:46:29,"2,012s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/Add a new Caregiver Link""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:46:29,2019-06-24 13:46:29,"0,176s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Add a new Caregiver Link""))",Chrome 75.0.3770.100,,2019-06-24 13:46:29,2019-06-24 13:46:30,"0,557s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:30,2019-06-24 13:46:32,"2,018s",PASSED
waitForPageLoad(50),Chrome 75.0.3770.100,,2019-06-24 13:46:32,2019-06-24 13:46:33,"0,958s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/CaregiverType""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:46:33,2019-06-24 13:46:33,"0,358s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/CaregiverType""))",Chrome 75.0.3770.100,,2019-06-24 13:46:33,2019-06-24 13:46:34,"0,995s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:34,2019-06-24 13:46:36,"2,015s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/CaregiverType""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 75.0.3770.100,,2019-06-24 13:46:36,2019-06-24 13:46:37,"0,441s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:37,2019-06-24 13:46:39,"2,014s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/LineOfBusiness""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:46:39,2019-06-24 13:46:39,"0,267s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/LineOfBusiness""))",Chrome 75.0.3770.100,,2019-06-24 13:46:39,2019-06-24 13:46:40,"1,067s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:40,2019-06-24 13:46:42,"2,019s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/LineOfBusiness""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 75.0.3770.100,,2019-06-24 13:46:42,2019-06-24 13:46:42,"0,581s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:46:42,2019-06-24 13:46:44,"2,013s",PASSED
