Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression FrontEnd,Chrome 73.0.3683.86,,2019-03-27 11:27:06,2019-03-27 11:29:27,"2m - 20,933s",PASSED
,,,,,,
Test Cases/Regression Clinical Edge (All Browsers)/CLNK-23349 - ContinuLink - Login,Chrome 73.0.3683.86,"Summary: ContinuLink - Login
Description: ",2019-03-27 11:27:07,2019-03-27 11:27:31,"23,447s",PASSED
openBrowser(G_SiteURL),Chrome 73.0.3683.86,,2019-03-27 11:27:09,2019-03-27 11:27:22,"13,442s",PASSED
waitForPageLoad(60),Chrome 73.0.3683.86,,2019-03-27 11:27:22,2019-03-27 11:27:22,"0,169s",PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-03-27 11:27:22,2019-03-27 11:27:23,"1,239s",PASSED
"setText(findTestObject(""Regression Clinical Edge/CLNK-23349/User""), G_User)",Chrome 73.0.3683.86,,2019-03-27 11:27:23,2019-03-27 11:27:24,"1,002s",PASSED
"setText(findTestObject(""Regression Clinical Edge/CLNK-23349/Password""), G_Password)",Chrome 73.0.3683.86,,2019-03-27 11:27:24,2019-03-27 11:27:25,"0,905s",PASSED
"click(findTestObject(""Regression Clinical Edge/CLNK-23349/Button_LogIn""))",Chrome 73.0.3683.86,,2019-03-27 11:27:25,2019-03-27 11:27:28,"2,776s",PASSED
waitForPageLoad(60),Chrome 73.0.3683.86,,2019-03-27 11:27:28,2019-03-27 11:27:28,"0,088s",PASSED
"waitForElementPresent(findTestObject(""Regression Clinical Edge/ClientPage/button_Add Schedule""), 60)",Chrome 73.0.3683.86,,2019-03-27 11:27:28,2019-03-27 11:27:28,"0,167s",PASSED
"verifyElementPresent(findTestObject(""Regression Clinical Edge/ClientPage/button_Add Schedule""), 100)",Chrome 73.0.3683.86,,2019-03-27 11:27:28,2019-03-27 11:27:29,"0,104s",PASSED
,,,,,,
